old_url,new_url,status,reason
https://happyeducation.uk/term_conditions/,,410,"410 LearnPress default T&C stub, 0 words - real terms page must be authored fresh"
https://happyeducation.uk/become_a_teacher/,,410,410 LearnPress become-instructor page (0 words)
https://happyeducation.uk/instructor/,,410,410 LearnPress single-instructor page ([learn_press_single_instructor] only)
https://happyeducation.uk/instructors/,,410,410 LearnPress instructor archive ([learn_press_instructors] only)
https://happyeducation.uk/courses/,,410,"410 LearnPress course archive (plugin artefact, 0 words)"
https://happyeducation.uk/lp-profile/,,410,410 LearnPress profile page ([learn_press_profile] only)
https://happyeducation.uk/lp-checkout/,,410,410 LearnPress checkout (0 words)
https://happyeducation.uk/football-academy-brighton-2/,https://happyeducation.uk/tr/yaz-okullari/berlitz-manchester/,301,"KEEP URL, REWRITE CONTENT -- Slug says football-academy-brighton-2 but the page is Berlitz Manchester - slug/content mismatch"
https://happyeducation.uk/skola-regent-gloucester-gate/,https://happyeducation.uk/tr/yaz-okullari/skola-regent-gloucester-gate/,301,summerProgramme -- Root-level summer programme (219w) - must NOT be confused with the same-named university page
https://happyeducation.uk/barry-university-miami/,https://happyeducation.uk/tr/yaz-okullari/barry-university-miami/,301,summerProgramme -- Root-level summer programme (189w) - must NOT be confused with the same-named university page
https://happyeducation.uk/new-york-st-peters-university/,https://happyeducation.uk/tr/yaz-okullari/new-york-st-peters-university/,301,summerProgramme -- Root-level summer programme (198w) - must NOT be confused with the same-named university page
https://happyeducation.uk/los-angeles/,https://happyeducation.uk/tr/yaz-okullari/los-angeles/,301,summerProgramme -- Root-level summer programme (190w) - must NOT be confused with the same-named university page
https://happyeducation.uk/tufts-university/,https://happyeducation.uk/tr/yaz-okullari/tufts-university/,301,summerProgramme -- Root-level summer programme (186w) - must NOT be confused with the same-named university page
https://happyeducation.uk/university-of-middlesex-london/,https://happyeducation.uk/tr/yaz-okullari/university-of-middlesex-london/,301,summerProgramme -- Root-level summer programme (173w) - must NOT be confused with the same-named university page
https://happyeducation.uk/university-of-kent/,https://happyeducation.uk/tr/yaz-okullari/university-of-kent/,301,summerProgramme -- Root-level summer programme (164w) - must NOT be confused with the same-named university page
https://happyeducation.uk/grup-yaz-okullari/,https://happyeducation.uk/tr/yaz-okullari/grup/,301,"page -- 416w group-summer-school hub, the substantive version of this pair"
https://happyeducation.uk/university-of-greenwich/,https://happyeducation.uk/tr/yaz-okullari/university-of-greenwich/,301,summerProgramme -- Root-level summer programme (161w) - must NOT be confused with the same-named university page
https://happyeducation.uk/abbey-college-cambridge/,https://happyeducation.uk/tr/yaz-okullari/abbey-college-cambridge/,301,summerProgramme -- Root-level summer programme (164w) - must NOT be confused with the same-named university page
https://happyeducation.uk/university-of-westminster-london/,https://happyeducation.uk/tr/yaz-okullari/university-of-westminster-london/,301,summerProgramme -- Root-level summer programme (184w) - must NOT be confused with the same-named university page
https://happyeducation.uk/university-college-london/,https://happyeducation.uk/tr/yaz-okullari/university-college-london/,301,summerProgramme -- Root-level summer programme (179w) - must NOT be confused with the same-named university page
https://happyeducation.uk/london-kings-college/,https://happyeducation.uk/tr/yaz-okullari/london-kings-college/,301,"KEEP URL, REWRITE CONTENT -- Hero image is University-of-Aberdeen.jpg - wrong institution photo"
